plastic,プラスチック(製の)
puzzle,パズル
wax,ろう
artisan,職人
paint,~に(ペンキなどを)塗る
easily,簡単に、楽に
instead,その代わりに
sample,サンプル
familiar,よく知っている
shape,~を形作る、形、形状
candle,ろうそく
real,本物の
plastic resin,プラスチック樹脂
particular,ある特定の
melt,溶ける
below,下に
potato chip,ポテトチップス
innovation,革新
food sample,食品サンプル
Ainu,アイヌ(語)(の)
northern,北の、北部の
government,政府
nobody,誰も~ない
result,結果、成果、出来ばえ
scholarship,奨学金
band,バンド、楽団
knew,know の過去形
second half,後半
baby,赤ちゃん
chance,機会、可能性
struggle,奮闘、苦闘
cry,(涙を流して)泣く
set up ~,~を設立する
believe in ~,~を信じる
keep ~ in mind,~を心に留めておく
native,その土地に生まれた
particularly,特に
land,土地、国土
recover,~を取り戻す
elementary school,小学校
herself,彼女自身
university,大学
realize,~をはっきり理解する
through,~を通じて
confidence,自信
Florida,フロリダ〔アメリカ南東端の州〕
preserve,~を守る
leader,リーダー、指導者
as a result,その結果
too ... to ~,…すぎて~できない
be careful of ~,~に気をつける
both ~ and ...,~も…も(両方とも)
worldwide,世界中で
